runtime,solution cost,instance name
0.001,226,./instances/empty-16-16/empty-16-16-random-20-agents-35.scen
0.003,239,./instances/empty-16-16/empty-16-16-random-20-agents-36.scen
0.004,225,./instances/empty-16-16/empty-16-16-random-20-agents-37.scen
0.01,244,./instances/empty-16-16/empty-16-16-random-20-agents-38.scen
0.003,230,./instances/empty-16-16/empty-16-16-random-20-agents-39.scen
0.003,257,./instances/empty-16-16/empty-16-16-random-20-agents-40.scen
0.002,214,./instances/empty-16-16/empty-16-16-random-20-agents-41.scen
0.002,234,./instances/empty-16-16/empty-16-16-random-20-agents-42.scen
0.002,249,./instances/empty-16-16/empty-16-16-random-20-agents-43.scen
0.002,221,./instances/empty-16-16/empty-16-16-random-20-agents-44.scen
0.003,240,./instances/empty-16-16/empty-16-16-random-20-agents-45.scen
0.001,221,./instances/empty-16-16/empty-16-16-random-20-agents-46.scen
0.001,205,./instances/empty-16-16/empty-16-16-random-20-agents-47.scen
0.001,213,./instances/empty-16-16/empty-16-16-random-20-agents-48.scen
0.001,212,./instances/empty-16-16/empty-16-16-random-20-agents-49.scen
0.001,219,./instances/empty-16-16/empty-16-16-random-20-agents-50.scen
0.003,182,./instances/empty-16-16/empty-16-16-random-20-agents-51.scen
0.002,230,./instances/empty-16-16/empty-16-16-random-20-agents-52.scen
0.001,233,./instances/empty-16-16/empty-16-16-random-20-agents-53.scen
0.001,251,./instances/empty-16-16/empty-16-16-random-20-agents-54.scen
0.003,222,./instances/empty-16-16/empty-16-16-random-20-agents-55.scen
0.003,206,./instances/empty-16-16/empty-16-16-random-20-agents-56.scen
0.001,229,./instances/empty-16-16/empty-16-16-random-20-agents-57.scen
0.002,230,./instances/empty-16-16/empty-16-16-random-20-agents-58.scen
0.001,220,./instances/empty-16-16/empty-16-16-random-20-agents-59.scen
0.004,222,./instances/empty-16-16/empty-16-16-random-20-agents-60.scen
0.003,214,./instances/empty-16-16/empty-16-16-random-20-agents-61.scen
0.003,211,./instances/empty-16-16/empty-16-16-random-20-agents-62.scen
0.002,209,./instances/empty-16-16/empty-16-16-random-20-agents-63.scen
0.002,243,./instances/empty-16-16/empty-16-16-random-20-agents-64.scen
0.003,241,./instances/empty-16-16/empty-16-16-random-20-agents-65.scen
0.002,217,./instances/empty-16-16/empty-16-16-random-20-agents-66.scen
0.002,255,./instances/empty-16-16/empty-16-16-random-20-agents-67.scen
0.001,216,./instances/empty-16-16/empty-16-16-random-20-agents-68.scen
0.001,244,./instances/empty-16-16/empty-16-16-random-20-agents-69.scen
0.004,258,./instances/empty-16-16/empty-16-16-random-20-agents-70.scen
0.007,223,./instances/empty-16-16/empty-16-16-random-20-agents-71.scen
0.003,227,./instances/empty-16-16/empty-16-16-random-20-agents-72.scen
0.003,217,./instances/empty-16-16/empty-16-16-random-20-agents-73.scen
0.002,233,./instances/empty-16-16/empty-16-16-random-20-agents-74.scen
0.004,239,./instances/empty-16-16/empty-16-16-random-20-agents-75.scen
0.002,221,./instances/empty-16-16/empty-16-16-random-20-agents-76.scen
0.001,220,./instances/empty-16-16/empty-16-16-random-20-agents-77.scen
0.001,218,./instances/empty-16-16/empty-16-16-random-20-agents-78.scen
0.003,252,./instances/empty-16-16/empty-16-16-random-20-agents-79.scen
0.001,258,./instances/empty-16-16/empty-16-16-random-20-agents-80.scen
0.001,236,./instances/empty-16-16/empty-16-16-random-20-agents-81.scen
0.001,243,./instances/empty-16-16/empty-16-16-random-20-agents-82.scen
0.001,278,./instances/empty-16-16/empty-16-16-random-20-agents-83.scen
0,209,./instances/empty-16-16/empty-16-16-random-20-agents-84.scen
0.006,242,./instances/empty-16-16/empty-16-16-random-20-agents-85.scen
0.002,219,./instances/empty-16-16/empty-16-16-random-20-agents-86.scen
0.002,252,./instances/empty-16-16/empty-16-16-random-20-agents-87.scen
0.001,235,./instances/empty-16-16/empty-16-16-random-20-agents-88.scen
0.002,227,./instances/empty-16-16/empty-16-16-random-20-agents-89.scen
0.007,257,./instances/empty-16-16/empty-16-16-random-20-agents-90.scen
0.002,223,./instances/empty-16-16/empty-16-16-random-20-agents-91.scen
0.002,242,./instances/empty-16-16/empty-16-16-random-20-agents-92.scen
0.001,226,./instances/empty-16-16/empty-16-16-random-20-agents-93.scen
0.001,272,./instances/empty-16-16/empty-16-16-random-20-agents-94.scen
0.002,246,./instances/empty-16-16/empty-16-16-random-20-agents-95.scen
0.001,207,./instances/empty-16-16/empty-16-16-random-20-agents-96.scen
0.001,237,./instances/empty-16-16/empty-16-16-random-20-agents-97.scen
0.004,243,./instances/empty-16-16/empty-16-16-random-20-agents-98.scen
0.003,228,./instances/empty-16-16/empty-16-16-random-20-agents-99.scen
0.001,214,./instances/empty-16-16/empty-16-16-random-20-agents-100.scen
0.005,402,./instances/empty-16-16/empty-16-16-random-40-agents-1.scen
0.004,485,./instances/empty-16-16/empty-16-16-random-40-agents-2.scen
0.006,451,./instances/empty-16-16/empty-16-16-random-40-agents-3.scen
0.003,475,./instances/empty-16-16/empty-16-16-random-40-agents-4.scen
0.009,511,./instances/empty-16-16/empty-16-16-random-40-agents-5.scen
3.928,463,./instances/empty-16-16/empty-16-16-random-40-agents-6.scen
0.006,420,./instances/empty-16-16/empty-16-16-random-40-agents-7.scen
0.008,422,./instances/empty-16-16/empty-16-16-random-40-agents-8.scen
0.006,437,./instances/empty-16-16/empty-16-16-random-40-agents-9.scen
0.007,454,./instances/empty-16-16/empty-16-16-random-40-agents-10.scen
0.01,448,./instances/empty-16-16/empty-16-16-random-40-agents-11.scen
0.014,488,./instances/empty-16-16/empty-16-16-random-40-agents-12.scen
0.005,472,./instances/empty-16-16/empty-16-16-random-40-agents-13.scen
0.11,435,./instances/empty-16-16/empty-16-16-random-40-agents-14.scen
0.005,470,./instances/empty-16-16/empty-16-16-random-40-agents-15.scen
0.004,478,./instances/empty-16-16/empty-16-16-random-40-agents-16.scen
0.011,495,./instances/empty-16-16/empty-16-16-random-40-agents-17.scen
0.008,414,./instances/empty-16-16/empty-16-16-random-40-agents-18.scen
0.009,513,./instances/empty-16-16/empty-16-16-random-40-agents-19.scen
1.805,460,./instances/empty-16-16/empty-16-16-random-40-agents-20.scen
0.005,460,./instances/empty-16-16/empty-16-16-random-40-agents-21.scen
0.012,451,./instances/empty-16-16/empty-16-16-random-40-agents-22.scen
0.01,429,./instances/empty-16-16/empty-16-16-random-40-agents-23.scen
0.007,463,./instances/empty-16-16/empty-16-16-random-40-agents-24.scen
0.039,456,./instances/empty-16-16/empty-16-16-random-40-agents-25.scen
0.013,449,./instances/empty-16-16/empty-16-16-random-40-agents-26.scen
0.006,427,./instances/empty-16-16/empty-16-16-random-40-agents-27.scen
0.008,416,./instances/empty-16-16/empty-16-16-random-40-agents-28.scen
0.006,437,./instances/empty-16-16/empty-16-16-random-40-agents-29.scen
