runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.002,2,3,348,1173,216,210,210,210,2,0,0,0,0,1,0,0,0,1,1,0,3,0,0,1,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-24.scen
0.004,4,7,507,1612,234,234,228,234,1,3,0,2,0,1,0,0,0,3,1,0,10,0,2,-2,0.003,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-25.scen
0.003,2,3,429,1426,229,229,227,229,3,1,0,1,0,0,0,0,0,1,1,0,5,0,2,0,0.002,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-26.scen
0.002,1,1,365,1252,217,217,217,217,4,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-27.scen
0.002,1,1,320,1140,239,239,239,239,3,0,0,0,0,0,0,0,0,0,1,0,6,2,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-28.scen
0.001,1,1,259,932,216,216,216,216,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-29.scen
0.002,4,7,428,1412,242,238,234,238,1,1,0,1,0,2,0,0,0,3,1,0,5,0,0.666667,0.333333,0.001,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-30.scen
0.001,1,1,249,880,200,200,200,200,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-31.scen
0.001,1,1,282,988,227,227,227,227,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-32.scen
0.002,2,3,391,1232,225,217,217,217,2,0,0,0,0,1,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-33.scen
0.001,1,1,287,1006,231,231,231,231,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-34.scen
0.001,1,1,286,1026,226,226,226,226,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-35.scen
0.005,3,7,815,2314,249,241,237,241,2,2,0,2,0,1,0,0,0,3,1,0,8,0,1.33333,0,0.001,0.001,0.001,0,0,0,0.001,0,0,0.001,0.001,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-36.scen
0.001,1,3,298,1011,226,226,224,226,0,1,0,1,0,0,0,0,0,1,1,0,2,0,2,-1,0.001,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-37.scen
