runtime,solution cost,instance name
0.002,243,instances/empty-16-16/empty-16-16-random-20-agents-92.scen
0.002,226,instances/empty-16-16/empty-16-16-random-20-agents-93.scen
0.003,272,instances/empty-16-16/empty-16-16-random-20-agents-94.scen
0.002,246,instances/empty-16-16/empty-16-16-random-20-agents-95.scen
0.001,207,instances/empty-16-16/empty-16-16-random-20-agents-96.scen
0.004,237,instances/empty-16-16/empty-16-16-random-20-agents-97.scen
0.003,244,instances/empty-16-16/empty-16-16-random-20-agents-98.scen
0.004,228,instances/empty-16-16/empty-16-16-random-20-agents-99.scen
0.002,214,instances/empty-16-16/empty-16-16-random-20-agents-100.scen
0.069,409,instances/empty-16-16/empty-16-16-random-40-agents-1.scen
0.016,487,instances/empty-16-16/empty-16-16-random-40-agents-2.scen
0.065,458,instances/empty-16-16/empty-16-16-random-40-agents-3.scen
0.007,476,instances/empty-16-16/empty-16-16-random-40-agents-4.scen
0.014,514,instances/empty-16-16/empty-16-16-random-40-agents-5.scen
5.644,468,instances/empty-16-16/empty-16-16-random-40-agents-6.scen
0.019,424,instances/empty-16-16/empty-16-16-random-40-agents-7.scen
0.043,427,instances/empty-16-16/empty-16-16-random-40-agents-8.scen
0.011,438,instances/empty-16-16/empty-16-16-random-40-agents-9.scen
2.393,461,instances/empty-16-16/empty-16-16-random-40-agents-10.scen
0.023,451,instances/empty-16-16/empty-16-16-random-40-agents-11.scen
0.05,492,instances/empty-16-16/empty-16-16-random-40-agents-12.scen
0.009,474,instances/empty-16-16/empty-16-16-random-40-agents-13.scen
0.015,440,instances/empty-16-16/empty-16-16-random-40-agents-14.scen
0.908,478,instances/empty-16-16/empty-16-16-random-40-agents-15.scen
0.024,480,instances/empty-16-16/empty-16-16-random-40-agents-16.scen
0.012,497,instances/empty-16-16/empty-16-16-random-40-agents-17.scen
0.025,417,instances/empty-16-16/empty-16-16-random-40-agents-18.scen
0.012,514,instances/empty-16-16/empty-16-16-random-40-agents-19.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-40-agents-20.scen
0.016,465,instances/empty-16-16/empty-16-16-random-40-agents-21.scen
0.013,455,instances/empty-16-16/empty-16-16-random-40-agents-22.scen
0.053,434,instances/empty-16-16/empty-16-16-random-40-agents-23.scen
0.141,468,instances/empty-16-16/empty-16-16-random-40-agents-24.scen
0.021,460,instances/empty-16-16/empty-16-16-random-40-agents-25.scen
0.008,452,instances/empty-16-16/empty-16-16-random-40-agents-26.scen
0.072,434,instances/empty-16-16/empty-16-16-random-40-agents-27.scen
0.054,420,instances/empty-16-16/empty-16-16-random-40-agents-28.scen
0.011,439,instances/empty-16-16/empty-16-16-random-40-agents-29.scen
0.013,466,instances/empty-16-16/empty-16-16-random-40-agents-30.scen
0.004,439,instances/empty-16-16/empty-16-16-random-40-agents-31.scen
0.035,444,instances/empty-16-16/empty-16-16-random-40-agents-32.scen
0.014,487,instances/empty-16-16/empty-16-16-random-40-agents-33.scen
0.006,434,instances/empty-16-16/empty-16-16-random-40-agents-34.scen
0.118,469,instances/empty-16-16/empty-16-16-random-40-agents-35.scen
0.048,452,instances/empty-16-16/empty-16-16-random-40-agents-36.scen
0.006,441,instances/empty-16-16/empty-16-16-random-40-agents-37.scen
0.018,521,instances/empty-16-16/empty-16-16-random-40-agents-38.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-40-agents-39.scen
0.07,523,instances/empty-16-16/empty-16-16-random-40-agents-40.scen
0.019,448,instances/empty-16-16/empty-16-16-random-40-agents-41.scen
10.331,472,instances/empty-16-16/empty-16-16-random-40-agents-42.scen
0.011,471,instances/empty-16-16/empty-16-16-random-40-agents-43.scen
0.03,492,instances/empty-16-16/empty-16-16-random-40-agents-44.scen
0.113,457,instances/empty-16-16/empty-16-16-random-40-agents-45.scen
0.015,452,instances/empty-16-16/empty-16-16-random-40-agents-46.scen
0.017,448,instances/empty-16-16/empty-16-16-random-40-agents-47.scen
0.391,464,instances/empty-16-16/empty-16-16-random-40-agents-48.scen
0.034,460,instances/empty-16-16/empty-16-16-random-40-agents-49.scen
0.015,453,instances/empty-16-16/empty-16-16-random-40-agents-50.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-40-agents-51.scen
0.012,472,instances/empty-16-16/empty-16-16-random-40-agents-52.scen
0.057,486,instances/empty-16-16/empty-16-16-random-40-agents-53.scen
0.073,490,instances/empty-16-16/empty-16-16-random-40-agents-54.scen
1.855,444,instances/empty-16-16/empty-16-16-random-40-agents-55.scen
0.032,436,instances/empty-16-16/empty-16-16-random-40-agents-56.scen
0.02,444,instances/empty-16-16/empty-16-16-random-40-agents-57.scen
6.135,464,instances/empty-16-16/empty-16-16-random-40-agents-58.scen
0.367,422,instances/empty-16-16/empty-16-16-random-40-agents-59.scen
2.835,463,instances/empty-16-16/empty-16-16-random-40-agents-60.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-40-agents-61.scen
0.035,463,instances/empty-16-16/empty-16-16-random-40-agents-62.scen
0.47,444,instances/empty-16-16/empty-16-16-random-40-agents-63.scen
0.126,451,instances/empty-16-16/empty-16-16-random-40-agents-64.scen
0.013,471,instances/empty-16-16/empty-16-16-random-40-agents-65.scen
0.014,416,instances/empty-16-16/empty-16-16-random-40-agents-66.scen
5.276,492,instances/empty-16-16/empty-16-16-random-40-agents-67.scen
0.022,469,instances/empty-16-16/empty-16-16-random-40-agents-68.scen
0.023,477,instances/empty-16-16/empty-16-16-random-40-agents-69.scen
0.025,506,instances/empty-16-16/empty-16-16-random-40-agents-70.scen
0.16,424,instances/empty-16-16/empty-16-16-random-40-agents-71.scen
0.041,433,instances/empty-16-16/empty-16-16-random-40-agents-72.scen
0.122,441,instances/empty-16-16/empty-16-16-random-40-agents-73.scen
0.051,475,instances/empty-16-16/empty-16-16-random-40-agents-74.scen
0.018,450,instances/empty-16-16/empty-16-16-random-40-agents-76.scen
0.028,436,instances/empty-16-16/empty-16-16-random-40-agents-77.scen
0.009,441,instances/empty-16-16/empty-16-16-random-40-agents-78.scen
60.003,-1,instances/empty-16-16/empty-16-16-random-40-agents-79.scen
0.041,465,instances/empty-16-16/empty-16-16-random-40-agents-81.scen
0.023,461,instances/empty-16-16/empty-16-16-random-40-agents-82.scen
0.041,535,instances/empty-16-16/empty-16-16-random-40-agents-83.scen
0.031,453,instances/empty-16-16/empty-16-16-random-40-agents-84.scen
0.039,522,instances/empty-16-16/empty-16-16-random-40-agents-85.scen
0.429,459,instances/empty-16-16/empty-16-16-random-40-agents-86.scen
0.162,462,instances/empty-16-16/empty-16-16-random-40-agents-87.scen
0.088,488,instances/empty-16-16/empty-16-16-random-40-agents-88.scen
0.046,451,instances/empty-16-16/empty-16-16-random-40-agents-89.scen
0.014,473,instances/empty-16-16/empty-16-16-random-40-agents-90.scen
0.173,467,instances/empty-16-16/empty-16-16-random-40-agents-92.scen
5.842,467,instances/empty-16-16/empty-16-16-random-40-agents-93.scen
0.012,533,instances/empty-16-16/empty-16-16-random-40-agents-94.scen
0.026,477,instances/empty-16-16/empty-16-16-random-40-agents-95.scen
0.011,427,instances/empty-16-16/empty-16-16-random-40-agents-96.scen
0.052,484,instances/empty-16-16/empty-16-16-random-40-agents-97.scen
0.018,503,instances/empty-16-16/empty-16-16-random-40-agents-98.scen
0.03,460,instances/empty-16-16/empty-16-16-random-40-agents-99.scen
0.04,468,instances/empty-16-16/empty-16-16-random-40-agents-100.scen
0.368,706,instances/empty-16-16/empty-16-16-random-60-agents-2.scen
16.855,714,instances/empty-16-16/empty-16-16-random-60-agents-3.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-4.scen
1.593,743,instances/empty-16-16/empty-16-16-random-60-agents-5.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-6.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-7.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-8.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-9.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-10.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-11.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-14.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-15.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-16.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-17.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-18.scen
2.3,731,instances/empty-16-16/empty-16-16-random-60-agents-19.scen
48.791,695,instances/empty-16-16/empty-16-16-random-60-agents-21.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-22.scen
60.006,-1,instances/empty-16-16/empty-16-16-random-60-agents-23.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-24.scen
60.002,-1,instances/empty-16-16/empty-16-16-random-60-agents-25.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-27.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-28.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-29.scen
1.703,692,instances/empty-16-16/empty-16-16-random-60-agents-30.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-31.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-32.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-33.scen
0.134,661,instances/empty-16-16/empty-16-16-random-60-agents-34.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-35.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-36.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-37.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-39.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-40.scen
0.241,680,instances/empty-16-16/empty-16-16-random-60-agents-41.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-42.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-43.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-44.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-45.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-46.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-47.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-48.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-51.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-52.scen
6.433,724,instances/empty-16-16/empty-16-16-random-60-agents-54.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-55.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-56.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-57.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-58.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-59.scen
60.002,-1,instances/empty-16-16/empty-16-16-random-60-agents-60.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-61.scen
9.765,728,instances/empty-16-16/empty-16-16-random-60-agents-62.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-63.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-64.scen
