runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.001,2,5,298,1311,204,204,202,204,0,0,2,0,0,0,0,2,0,0.001,0,0,0,0,0,0,0,0,0,0,0.003,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-1.scen:
0.002,3,5,394,1763,260,260,260,260,1,1,0,0,1,0,0,3,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-2.scen:
0.003,2,3,310,1357,204,204,204,204,1,0,0,0,1,0,0,5,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.004,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-3.scen:
0.004,3,5,410,1854,244,244,244,244,4,1,0,0,1,0,0,6,0,0.001,0,0,0,0,0,0.001,0,0,0.001,0.001,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-4.scen:
0.002,1,3,300,1332,226,226,226,226,0,0,0,0,1,0,0,2,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-5.scen:
0.002,1,3,325,1478,261,261,261,261,0,0,0,0,1,0,0,2,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-6.scen:
0.002,2,3,347,1439,202,202,201,202,1,0,0,0,1,0,0,2,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-7.scen:
0.004,5,9,433,1837,194,194,194,194,4,2,1,0,1,0,0,10,0,0.003,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-8.scen:
0.002,2,3,324,1407,198,198,198,198,3,0,0,0,1,0,0,4,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-9.scen:
0.004,6,11,517,2252,217,217,217,217,4,2,0,0,3,0,0,11,0,0.002,0,0,0,0,0,0,0,0,0.001,0.001,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-10.scen:
0.002,2,3,431,1669,219,219,219,219,1,0,0,0,1,0,0,3,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-11.scen:
0.003,2,3,447,1812,239,239,238,239,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0.001,0,0,0.001,0.001,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-12.scen:
0.002,1,3,342,1522,254,254,254,254,0,0,0,0,1,0,0,2,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-13.scen:
0.003,2,3,405,1727,207,207,207,207,4,0,0,0,1,0,0,8,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-14.scen:
0.006,3,5,499,1998,233,233,232,233,2,0,1,0,1,0,0,4,0,0.002,0,0,0,0,0,0,0,0,0.002,0.002,0.004,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-15.scen:
0.003,2,3,370,1648,250,250,250,250,2,0,0,0,1,0,0,3,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-16.scen:
0.007,4,7,657,2643,261,261,260,260,4,2,0,0,1,0,0,8,0,0.003,0,0,0,0,0,0.002,0,0,0.001,0.001,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-17.scen:
0.012,19,34,1188,4703,227,227,224,225,11,10,1,0,7,0,0,31,1,0.003,0.001,0.001,0,0,0,0.001,0,0.001,0.004,0.006,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-18.scen:
0.002,2,3,418,1769,251,251,251,251,1,1,0,0,0,0,0,2,0,0.002,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-19.scen:
0.009,10,19,980,4040,248,248,247,248,5,8,1,0,0,0,0,18,0,0.006,0,0,0,0,0,0.002,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-20.scen:
0.002,1,3,309,1327,241,241,240,241,0,0,1,0,0,0,0,2,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-21.scen:
0.001,0,1,250,1120,222,222,222,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-22.scen:
0.003,3,5,426,1724,210,210,209,210,2,0,0,0,2,0,0,6,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-23.scen:
0.003,3,5,375,1612,210,210,210,210,2,0,0,0,2,0,0,4,0,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-24.scen:
0.005,4,7,568,2203,232,232,228,231,1,0,2,0,1,0,0,12,0,0.002,0,0,0.001,0,0,0,0,0,0.001,0.001,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-25.scen:
0.003,2,3,436,1843,228,228,227,228,4,0,1,0,0,0,0,5,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-26.scen:
0.002,2,3,324,1421,217,217,217,217,1,0,0,0,1,0,0,3,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-27.scen:
0.003,2,3,370,1660,239,239,239,239,3,0,0,0,1,0,0,5,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-28.scen:
0.002,2,3,289,1300,216,216,216,216,1,0,0,0,1,0,0,2,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-29.scen:
0.003,3,5,364,1565,236,236,234,236,1,0,1,0,1,0,0,4,0,0.002,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-30.scen:
0.003,3,5,367,1599,200,200,200,200,1,0,0,0,2,0,0,3,0,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-31.scen:
0.002,2,3,326,1421,227,227,227,227,1,0,0,0,1,0,0,2,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-32.scen:
0.006,4,7,474,2009,217,217,217,217,4,2,0,0,1,0,0,8,0,0.002,0,0,0,0,0,0.002,0,0,0.001,0.001,0.004,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-33.scen:
0.003,1,3,301,1329,231,231,231,231,0,0,0,0,1,0,0,2,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-34.scen:
0.001,0,1,256,1140,226,226,226,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-35.scen:
0.028,10,19,1151,4518,240,240,237,239,7,1,3,0,5,0,0,13,3,0.013,0.001,0,0,0,0,0.002,0,0,0.008,0.008,0.009,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-36.scen:
0.003,2,3,325,1394,225,225,224,225,1,1,0,0,0,0,0,3,0,0.002,0,0,0,0,0,0,0,0,0,0,0.005,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-37.scen:
0.003,3,5,538,2165,244,244,243,244,1,1,1,0,0,0,0,3,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-38.scen:
0.004,2,3,390,1693,230,230,230,230,4,0,0,0,1,0,0,7,0,0.001,0,0,0,0,0,0.001,0,0,0.001,0.001,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-39.scen:
0.002,1,3,319,1429,257,257,257,257,0,1,0,0,0,0,0,1,0,0,0.001,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-40.scen:
0.014,3,5,566,2191,214,214,214,214,4,0,0,0,2,0,0,6,0,0.007,0,0.001,0,0,0,0.001,0,0,0.002,0.003,0.009,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-41.scen:
0.005,2,3,470,1952,234,234,233,234,4,0,1,0,0,0,0,9,0,0.002,0,0,0,0,0,0.001,0,0,0.001,0.001,0.004,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-42.scen:
0.003,2,3,435,1874,249,249,249,249,3,0,0,0,1,0,0,5,0,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0.003,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-43.scen:
0.002,2,3,326,1489,221,221,221,221,3,0,0,0,1,0,0,5,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-44.scen:
0.003,3,5,437,1846,240,240,238,240,1,0,2,0,0,0,0,4,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-45.scen:
