runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
25.016,74806,149611,7611181,18514283,1711,1711,1675,1701,215,4598,57142,11278,6385,0,0,72731,1755,319,121362,0,1792,2451524,0.420373,0.127612,2.998,4.767,1.198,0.174,1.361,0,0.089,0.12,1.369,12.419,13.737,0.036,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-1.scen
60.008,151098,302197,16461628,42914712,-1,1646,1624,1640,6947,13709,137706,12803,589,0,0,117587,31584,1927,164730,0,15700,1861673,0.343155,0.340236,7.886,6.698,2.514,1.697,0.251,0,0.421,0.31,2.94,27.936,30.701,0.049,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-2.scen
0.378,895,1789,111660,268664,1659,1659,1637,1655,21,401,580,118,196,0,0,793,53,48,1446,0,99,39794,1.5302,-0.748322,0.057,0.066,0.015,0.003,0.031,0,0.018,0.004,0.018,0.169,0.189,0.029,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-3.scen
0.102,194,387,22344,55558,1934,1934,1916,1930,39,74,162,25,6,0,0,99,21,73,212,0,103,5110,1.25389,0.196891,0.032,0.006,0.005,0.001,0.001,0,0.018,0,0.003,0.031,0.037,0.041,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-6.scen
3.572,11359,22717,1059466,2704597,1970,1970,1942,1964,22,1945,7515,1265,2578,0,0,11257,29,72,16950,0,278,443043,0.838,-0.0209544,0.405,0.652,0.196,0.043,0.222,0,0.02,0.009,0.241,1.864,2.08,0.045,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-8.scen
1.492,6146,12291,439628,1175209,1815,1815,1787,1809,35,1217,4254,1374,517,0,0,5191,431,523,6454,0,122,140661,0.85891,-0.229292,0.147,0.255,0.093,0.031,0.095,0,0.014,0.005,0.125,0.765,0.868,0.032,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-9.scen
7.745,24031,48061,2353416,5810860,1788,1788,1764,1782,1899,1529,19608,2679,1743,0,0,20220,2760,1050,25693,0,1524,743484,0.157886,0.39767,0.91,1.041,0.419,0.125,0.54,0,0.069,0.032,0.475,3.956,4.414,0.029,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-10.scen
60.002,63736,127473,12142556,26490468,-1,1733,1711,1729,6278,350,63310,309,117,0,0,19286,22542,21908,47028,0,9766,212958,0.5605,0.632688,6.424,1.841,1.125,0.335,0.39,0,0.658,0.218,1.455,18.636,19.881,0.034,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-17.scen
60.003,172428,340360,17647085,43820402,-1,1861,1829,1855,1902,11033,160718,10168,1542,0,0,163520,4890,4018,200522,0,914,6481299,0.219547,0.117504,5.681,8.017,3.207,0.583,2.226,0,0.177,0.188,3.332,29.099,32.575,0.037,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-19.scen
60.001,132455,264207,16189914,39648599,-1,1803,1775,1795,154,6590,124049,6377,2029,0,0,121967,8833,1655,172557,0,5189,3284589,0.558242,0.0656298,5.563,10.001,2.343,0.486,4.158,0,0.252,0.234,2.48,25.725,28.278,0.057,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-23.scen
