runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
60.001,21456,42630,10489349,18511071,-1,1723,1675,1705,10660,3808,118,1261,16269,0,0,32760,35781,31.321,1.243,0.622,0.271,4.553,0,4.77,0.099,0.556,15.489,16.489,0.043,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-1.scen:
60.002,15467,30887,8232590,14144126,-1,1670,1624,1652,7419,571,1380,576,12940,0,0,37391,28000,36.543,0.826,0.434,0.489,1.125,0,6.791,0.082,0.444,12.119,12.891,0.026,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-2.scen:
60.001,20213,40420,6995894,13323087,-1,1681,1637,1661,9239,966,509,2709,16029,0,0,45207,13538,33.033,0.93,0.523,0.405,3.461,0,8.924,0.176,0.492,10.643,11.496,0.05,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-3.scen:
60.001,29789,58705,9823933,19825153,-1,1786,1738,1766,17764,6008,1264,692,21825,0,0,41772,105918,27.54,1.439,1.017,2.278,3.836,0,4.429,0.202,0.911,15.432,17.051,0.048,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-4.scen:
60.001,24705,48766,10390260,18643874,-1,1750,1706,1738,15052,5677,3377,2789,12862,0,0,37864,47137,30.24,1.156,0.744,1.223,2.096,0,5.616,0.178,0.809,15.678,16.841,0.049,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-5.scen:
60.001,29852,59621,14012592,24728341,-1,1978,1916,1952,20735,5579,1550,1643,21080,0,0,35336,64212,25.632,1.564,0.988,0.533,2.291,0,5.646,0.213,0.887,20.409,21.935,0.05,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-6.scen:
60.003,13912,27636,10264912,15521993,-1,1808,1744,1780,3685,1759,240,2042,9871,0,0,30585,20394,32.759,0.751,0.394,0.49,1.848,0,8.271,0.101,0.395,13.72,14.352,0.07,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-7.scen:
60.004,11280,22421,8173810,13282605,-1,2018,1942,1982,7309,1300,546,591,8843,0,0,18440,23059,34.014,0.524,0.366,0.907,0.508,0,10.78,0.076,0.403,11.665,12.228,0.05,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-8.scen:
60.001,40288,79605,10437398,21460020,-1,1837,1787,1815,18571,5201,1968,3343,29776,0,0,50803,58773,29.016,2.192,1.032,0.876,1.308,0,6.673,0.206,0.919,16.123,17.721,0.033,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-9.scen:
60.001,18838,36832,9125659,16550373,-1,1820,1764,1796,13375,2156,297,705,15680,0,0,43679,21407,33.004,0.868,0.625,0.286,2.083,0,7.938,0.147,0.562,13.251,14.266,0.049,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-10.scen:
60.003,11305,21956,10907334,16306724,-1,1648,1584,1604,4305,769,550,1142,8844,0,0,26018,4967,36.367,0.56,0.356,0.153,0.665,0,6.513,0.067,0.294,14.569,15.104,0.025,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-11.scen:
