runtime,solution cost,instance name
0.001,230,instances/empty-16-16/empty-16-16-random-20-agents-57.scen
0.001,232,instances/empty-16-16/empty-16-16-random-20-agents-58.scen
0.001,220,instances/empty-16-16/empty-16-16-random-20-agents-59.scen
0.003,224,instances/empty-16-16/empty-16-16-random-20-agents-60.scen
0.002,216,instances/empty-16-16/empty-16-16-random-20-agents-61.scen
0.002,212,instances/empty-16-16/empty-16-16-random-20-agents-62.scen
0.002,209,instances/empty-16-16/empty-16-16-random-20-agents-63.scen
0.001,244,instances/empty-16-16/empty-16-16-random-20-agents-64.scen
0.002,242,instances/empty-16-16/empty-16-16-random-20-agents-65.scen
0.001,217,instances/empty-16-16/empty-16-16-random-20-agents-66.scen
0.002,256,instances/empty-16-16/empty-16-16-random-20-agents-67.scen
0,216,instances/empty-16-16/empty-16-16-random-20-agents-68.scen
0.001,244,instances/empty-16-16/empty-16-16-random-20-agents-69.scen
0.004,263,instances/empty-16-16/empty-16-16-random-20-agents-70.scen
0.001,224,instances/empty-16-16/empty-16-16-random-20-agents-71.scen
0.002,228,instances/empty-16-16/empty-16-16-random-20-agents-72.scen
0.002,220,instances/empty-16-16/empty-16-16-random-20-agents-73.scen
0.001,234,instances/empty-16-16/empty-16-16-random-20-agents-74.scen
0.001,241,instances/empty-16-16/empty-16-16-random-20-agents-75.scen
0.001,222,instances/empty-16-16/empty-16-16-random-20-agents-76.scen
0.001,221,instances/empty-16-16/empty-16-16-random-20-agents-77.scen
0.001,218,instances/empty-16-16/empty-16-16-random-20-agents-78.scen
0.002,253,instances/empty-16-16/empty-16-16-random-20-agents-79.scen
0.001,258,instances/empty-16-16/empty-16-16-random-20-agents-80.scen
0.001,238,instances/empty-16-16/empty-16-16-random-20-agents-81.scen
0.001,243,instances/empty-16-16/empty-16-16-random-20-agents-82.scen
0,278,instances/empty-16-16/empty-16-16-random-20-agents-83.scen
0,209,instances/empty-16-16/empty-16-16-random-20-agents-84.scen
0.001,244,instances/empty-16-16/empty-16-16-random-20-agents-85.scen
