runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
60.001,19947,39895,4153188,13572988,-1,1816,1797,1809,7627,12308,4114,181,3344,0,0,30033,23046,45.044,0.922,0.448,0.788,0.41,0,1.966,0.166,0.479,8.471,9.087,0.031,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-1.scen:
0.286,139,277,64474,183525,1852,1852,1839,1843,262,29,7,0,102,0,0,144,134,0.113,0.004,0.004,0.004,0,0,0.021,0.001,0.01,0.125,0.131,0.03,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-2.scen:
0.159,52,103,13098,45503,1647,1647,1639,1643,58,4,3,6,38,0,0,203,0,0.095,0.001,0.003,0,0.011,0,0.022,0,0,0.021,0.023,0.05,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-3.scen:
1.8,660,1187,156233,520038,1902,1902,1879,1897,491,303,126,2,228,0,0,1521,456,1.154,0.043,0.021,0.024,0.006,0,0.168,0.006,0.013,0.323,0.358,0.051,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-4.scen:
60.001,57068,114022,11741044,38383659,-1,1773,1758,1769,41515,45203,1712,973,9180,0,0,36934,110649,21.92,3.142,1.423,1.259,0.695,0,2.448,0.535,1.711,24.186,26.393,0.029,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-5.scen:
7.343,1798,3422,1706973,3651148,1880,1880,1856,1865,1853,109,226,109,1354,0,0,2839,597,3.372,0.096,0.063,0.033,0.082,0,0.54,0.012,0.068,3.064,3.148,0.052,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-6.scen:
1.216,481,961,149313,487895,1799,1799,1786,1798,489,153,102,6,219,0,0,1020,514,0.684,0.022,0.018,0.028,0.007,0,0.112,0.005,0.017,0.299,0.323,0.049,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-7.scen:
6.583,1647,3138,550818,1547557,1984,1984,1965,1979,1280,253,97,94,1202,0,0,4883,1400,4.191,0.082,0.055,0.038,0.203,0,0.807,0.007,0.064,1.055,1.13,0.029,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-8.scen:
1.337,1184,2366,259722,924893,1722,1722,1707,1719,1428,94,470,81,538,0,0,656,2609,0.385,0.077,0.033,0.057,0.047,0,0.076,0.002,0.042,0.568,0.63,0.03,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-9.scen:
0.763,542,1077,132079,466973,1778,1778,1767,1775,484,4,99,0,438,0,0,508,426,0.301,0.018,0.024,0.016,0,0,0.096,0.001,0.016,0.28,0.312,0.046,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-10.scen:
60.001,12977,25955,5296483,15273619,-1,1869,1847,1863,5067,9633,818,11,2515,0,0,40548,16831,44.713,0.575,0.291,0.41,0.74,0,1.851,0.092,0.353,10.032,10.48,0.029,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-11.scen:
1.788,766,1531,281843,742629,1762,1762,1743,1752,732,326,60,16,363,0,0,1197,343,0.889,0.028,0.019,0.01,0.026,0,0.211,0.005,0.035,0.567,0.594,0.03,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-12.scen:
0.187,101,194,22198,75599,1688,1688,1677,1685,84,4,19,0,77,0,0,187,18,0.104,0.002,0.004,0.01,0.002,0,0.017,0,0.002,0.037,0.042,0.029,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-13.scen:
0.724,579,1159,130006,458777,1753,1753,1738,1750,444,416,134,0,29,0,0,422,1253,0.309,0.03,0.014,0.017,0.008,0,0.039,0.001,0.013,0.272,0.292,0.045,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-14.scen:
0.519,222,443,75199,213649,1804,1804,1793,1799,151,88,27,9,97,0,0,314,410,0.233,0.013,0.002,0.005,0.068,0,0.044,0.002,0.006,0.138,0.14,0.045,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-15.scen:
2.728,2310,4621,663962,2238847,1776,1776,1762,1770,3636,192,280,40,1798,0,0,1503,2807,0.72,0.114,0.106,0.022,0.092,0,0.163,0.01,0.078,1.377,1.531,0.03,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-16.scen:
0.255,136,268,35697,122471,1820,1820,1811,1818,154,48,30,0,58,0,0,234,24,0.112,0.004,0.003,0.003,0.006,0,0.043,0.001,0.005,0.071,0.076,0.046,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-17.scen:
0.113,75,149,15091,58018,1642,1642,1637,1641,123,31,18,0,25,0,0,98,32,0.042,0.004,0.004,0.002,0,0,0.012,0,0.003,0.04,0.045,0.03,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-18.scen:
60.001,49135,93306,9528392,28482249,-1,1830,1814,1825,21632,34337,4869,2126,7803,0,0,47574,72370,27.92,2.837,1.1,2.032,1.155,0,2.734,0.3,1.203,18.247,19.781,0.031,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-19.scen:
0.363,120,233,40773,122064,1724,1724,1713,1717,112,12,19,1,87,0,0,266,23,0.213,0.004,0.004,0.005,0.006,0,0.041,0,0.003,0.08,0.084,0.051,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-20.scen:
1.217,830,1650,205481,628376,1802,1802,1782,1797,444,18,125,2,684,0,0,844,805,0.536,0.047,0.009,0.019,0.002,0,0.122,0.006,0.023,0.446,0.455,0.03,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-21.scen:
0.346,212,410,48396,159411,1966,1966,1957,1960,253,14,9,1,187,0,0,317,31,0.171,0.012,0.007,0.004,0.002,0,0.042,0.001,0.007,0.09,0.102,0.05,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-22.scen:
60.001,5327,10642,1662272,5666610,-1,1841,1830,1838,3447,3835,480,269,743,0,0,16977,2238,53.513,0.296,0.136,0.52,0.196,0,1.169,0.057,0.147,3.508,3.714,0.029,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-23.scen:
0.088,27,53,9234,30374,1825,1825,1805,1822,22,4,4,2,16,0,0,107,0,0.045,0.003,0.002,0,0,0,0.017,0,0,0.013,0.015,0.03,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-24.scen:
55.979,36437,71430,9102986,24167735,1695,1695,1671,1683,20121,23363,2722,2459,7893,0,0,30902,56348,25.859,1.954,0.778,0.96,2.014,0,3.341,0.3,0.971,17.995,19.296,0.031,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-25.scen:
