runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
60.001,67241,134481,12870876,40071515,-1,1816,1797,1809,9733,13437,36675,877,0,29688,0,9824,51973,5443,12072,0,18795,234268,0.224955,0.546966,7.466,0.582,1.86,0.331,0.071,0,8.891,0.541,1.9,27.358,29.392,0.04,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-1.scen
3.554,839,1677,208235,556856,1852,1852,1839,1843,96,84,109,36,0,693,0,624,152,62,827,0,4068,9680,0.217184,0.270883,2.781,0.036,0.017,0,0.002,0,0.272,0.004,0.028,0.417,0.436,0.034,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-2.scen
0.458,177,353,41565,118247,1647,1647,1639,1643,25,39,23,8,14,131,0,134,25,17,161,0,1051,4379,0.403409,-0.414773,0.297,0.01,0.003,0,0.014,0,0.048,0,0.003,0.079,0.082,0.034,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-3.scen
60.001,57787,115341,8424254,27639324,-1,1900,1879,1897,374,3139,34054,10922,2,12809,0,50770,6953,64,78253,0,22590,955075,0.229844,0.317251,28.667,3.231,1.474,0.451,0.022,0,2.731,0.468,1.459,18.368,19.985,0.034,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-4.scen
60.001,127149,240057,13605780,39209600,-1,1773,1758,1769,3630,26052,90189,1212,145,35603,0,84954,6191,36004,122738,0,19828,744604,0.431431,0.441419,13.067,4.843,2.509,0.255,0.196,0,1.444,0.868,3.309,29.166,31.931,0.034,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-5.scen
33.629,6221,12332,3493495,7174429,1880,1880,1856,1865,794,1022,1636,307,53,4225,0,4186,1294,741,5220,0,67348,70225,0.330976,-0.145636,24.992,0.21,0.181,0.024,0.054,0,1.912,0.041,0.217,6.011,6.207,0.034,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-6.scen
60.001,94006,184687,18350711,52608251,-1,1798,1786,1798,10656,26449,57480,35776,243,507,0,34941,58895,170,40826,0,14573,279034,0.393698,0.0319873,10.746,1.948,2.179,0.992,0.127,0,2.02,0.66,2.36,36.627,38.968,0.06,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-7.scen
13.862,7785,14934,1850390,4439825,1984,1984,1965,1979,129,152,5237,343,882,1322,0,7135,582,67,9603,0,13598,96486,0.320786,0.19964,8.194,0.456,0.176,0.025,0.33,0,0.655,0.056,0.212,3.538,3.726,0.034,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-8.scen
6.212,4599,9133,596497,1987874,1722,1722,1707,1719,248,535,1126,595,2,2875,0,3561,967,70,4162,0,13997,102439,0.158112,0.022836,4.022,0.184,0.097,0.015,0.015,0,0.357,0.037,0.133,1.375,1.481,0.054,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-9.scen
9.62,2998,5832,558656,1809309,1778,1778,1767,1773,390,214,204,159,0,2635,0,2184,446,368,2673,0,22554,54617,0.132755,0.108406,7.371,0.106,0.097,0.017,0.056,0,0.713,0.014,0.081,1.166,1.278,0.051,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-10.scen
