runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
60.003,20805,41595,6982088,18259442,-1,1713,1675,1699,5885,5334,1290,1808,12373,0,0,16156,63389,19.481,1.19,0.567,0.53,21.868,0,1.846,0.096,0.517,12.798,13.686,0.045,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-1.scen:
60.001,17531,35061,9403377,19094572,-1,1664,1624,1648,9872,416,1798,1231,14086,0,0,32062,29322,33.292,0.827,0.473,0.494,2.752,0,4.484,0.096,0.424,15.906,16.739,0.045,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-2.scen:
60.001,27089,54177,7461652,20148826,-1,1677,1637,1656,13320,3076,1105,2987,19921,0,0,38367,28714,27.908,1.377,0.711,0.681,7.109,0,5.94,0.2,0.598,13.838,14.922,0.026,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-3.scen:
60.001,35140,70281,8628732,24830056,-1,1777,1738,1762,16773,5285,3203,2558,24094,0,0,49369,97350,25.61,1.689,1.125,1.727,5.134,0,4.059,0.254,0.964,16.549,18.336,0.036,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-4.scen:
60.002,40221,80439,7959223,23321351,-1,1745,1706,1734,20115,7405,3697,3440,25679,0,0,46746,93511,27.291,2.14,1.099,1.146,3.957,0,4.63,0.213,1.092,15.452,17.229,0.046,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-5.scen:
60.001,41857,83179,10200924,29282606,-1,1971,1916,1949,26018,8084,2689,4577,26507,0,0,32769,98705,23.706,2.257,1.188,1.603,3.613,0,3.839,0.269,1.048,19.644,21.502,0.031,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-6.scen:
60.001,12528,25030,7078020,13844054,-1,1801,1744,1775,2467,2340,297,4192,5699,0,0,29527,27232,35.576,0.722,0.368,0.432,3.935,0,5.339,0.079,0.322,12.068,12.693,0.041,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-7.scen:
60.001,15706,31269,12687094,23516162,-1,2011,1942,1979,13308,3313,360,1129,10904,0,0,16384,40179,27.312,0.815,0.536,0.863,2.085,0,4.769,0.081,0.541,21.88,22.793,0.038,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-8.scen:
60.001,38370,75641,8851749,25431728,-1,1829,1787,1810,14189,6828,2011,5087,24444,0,0,48504,72945,29.275,1.983,0.96,0.934,2.845,0,4.434,0.174,0.903,16.586,18.04,0.025,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-9.scen:
60.001,27120,54240,9343944,23073127,-1,1814,1764,1794,7640,8225,594,1362,16939,0,0,41759,71992,28.651,1.316,0.819,0.575,3.368,0,5.7,0.173,0.708,16.728,17.964,0.044,WDG+GR+GC+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-10.scen:
