runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.005,2,5,337,1134,206,206,202,206,0,0,2,0,0,0,0,2,0,0.001,0,0,0,0,0,0.001,0,0,0.001,0.001,0.008,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-1.scen:
0.001,0,1,292,1045,260,260,260,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-2.scen:
0.002,2,3,320,1121,204,204,204,204,2,0,0,0,1,0,0,5,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-3.scen:
0.004,5,9,539,1673,244,244,244,244,1,2,0,0,2,0,0,5,0,0.001,0,0,0,0,0,0.002,0,0,0,0,0.004,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-4.scen:
0.002,1,3,312,1082,226,226,226,226,0,0,0,0,1,0,0,3,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-5.scen:
0.002,1,3,434,1370,261,261,261,261,0,0,0,0,1,0,0,1,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-6.scen:
0.002,2,3,365,1171,203,203,201,203,1,0,0,0,1,0,0,2,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-7.scen:
0.002,2,3,364,1080,194,194,194,194,2,0,0,0,1,0,0,3,0,0.001,0,0,0,0,0,0,0,0,0,0,0.003,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-8.scen:
0.002,2,3,282,985,198,198,198,198,2,0,0,0,1,0,0,3,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-9.scen:
0.004,6,11,552,1819,217,217,217,217,5,3,0,0,2,0,0,12,0,0.002,0,0,0,0,0,0,0,0,0.001,0.001,0.004,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-10.scen:
0.002,1,3,375,1149,219,219,219,219,0,0,0,0,1,0,0,2,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,WDG+GR+GC+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-11.scen:
