runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
1.352,3840,7681,332214,1212749,1806,1806,1797,1805,150,459,3330,510,0,0,0,2972,476,392,3988,0,280,40737,0.4125,-0.16901,0.137,0.159,0.056,0.022,0.017,0,0.128,0.007,0.07,0.757,0.823,0.035,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-1.scen
0.029,11,21,4676,18240,1843,1843,1839,1843,13,4,3,7,0,0,0,0,1,9,1,0,17,3,0.6,0.3,0.008,0,0,0,0,0,0.01,0,0.001,0.005,0.005,0.036,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-2.scen
0.022,8,15,3125,12478,1643,1643,1639,1643,14,6,4,2,1,0,0,1,0,6,3,0,24,36,1,-0.285714,0.007,0,0.001,0,0,0,0.005,0,0,0.002,0.003,0.062,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-3.scen
0.046,33,65,7321,26915,1886,1886,1879,1886,13,20,12,19,1,0,0,9,9,14,17,0,36,322,0.78125,-0.0625,0.013,0.001,0,0,0,0,0.013,0,0.002,0.013,0.013,0.034,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-4.scen
0.048,34,67,7893,27670,1766,1766,1758,1766,20,21,16,14,3,0,0,4,4,25,8,0,36,158,0.939394,-0.393939,0.016,0,0.001,0,0.003,0,0.01,0,0.001,0.012,0.013,0.036,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-5.scen
0.043,23,45,6466,23589,1861,1861,1856,1861,22,9,14,8,0,0,0,7,3,12,10,0,37,126,0.681818,-0.181818,0.012,0,0.001,0,0,0,0.011,0,0,0.011,0.011,0.036,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-6.scen
60.001,78677,157355,9958426,34482267,-1,1792,1786,1792,2767,7952,63932,14745,0,0,0,48866,27349,2462,81135,0,25880,622866,0.304511,0.459944,23.938,3.327,1.292,0.826,0.012,0,4.555,0.278,1.55,20.748,22.157,0.053,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-7.scen
0.189,246,491,35841,116845,1972,1972,1965,1971,48,37,196,41,8,0,0,171,46,28,291,0,143,5839,0.412245,0.0530612,0.059,0.012,0.006,0,0.001,0,0.031,0.001,0.002,0.069,0.075,0.035,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-8.scen
0.069,89,177,16467,58714,1714,1714,1707,1713,13,39,51,36,1,0,0,46,18,24,71,0,28,1306,0.852273,-0.420455,0.008,0.003,0.001,0,0,0,0.016,0.001,0.002,0.034,0.035,0.035,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-9.scen
0.176,339,677,38101,132225,1773,1773,1767,1771,23,27,296,42,0,0,0,251,64,23,581,0,103,8040,0.316568,0.201183,0.041,0.022,0.005,0,0,0,0.011,0.002,0.007,0.088,0.094,0.034,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-10.scen
2.42,2775,5549,749437,2263095,1852,1852,1847,1852,512,186,2323,307,144,0,0,1115,1357,302,1896,0,964,8399,0.424297,0.111752,0.535,0.073,0.046,0.019,0.052,0,0.135,0.006,0.069,1.465,1.516,0.035,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-11.scen
0.435,1206,2411,129126,425459,1748,1748,1743,1746,11,255,1029,173,3,0,0,714,477,14,1290,0,178,5578,0.4,0.46805,0.06,0.047,0.019,0.004,0.001,0,0.02,0.003,0.024,0.266,0.287,0.035,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-12.scen
0.063,43,85,8227,30428,1680,1680,1677,1679,23,3,20,22,0,0,0,20,12,10,45,0,68,894,0.452381,-0.238095,0.025,0.002,0.001,0,0.001,0,0.01,0,0,0.014,0.015,0.035,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-13.scen
0.035,48,95,5859,23591,1742,1742,1738,1741,20,12,30,17,0,0,0,9,25,13,15,0,34,189,0.531915,0.234043,0.007,0.001,0.001,0,0,0,0.008,0,0.001,0.012,0.013,0.041,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-14.scen
0.061,62,123,12579,44421,1796,1796,1793,1795,19,7,46,15,0,0,0,39,15,7,40,0,35,547,0.459016,-0.213115,0.013,0.002,0.002,0,0,0,0.014,0,0.002,0.024,0.025,0.035,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-15.scen
0.097,199,397,19663,73270,1769,1769,1762,1768,18,25,114,79,5,0,0,136,42,20,169,0,74,1776,0.540404,-0.146465,0.022,0.007,0.002,0,0,0,0.009,0.001,0.006,0.047,0.051,0.034,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-16.scen
0.11,320,639,29272,112729,1815,1815,1811,1814,24,100,264,55,0,0,0,67,244,8,76,0,28,684,0.54232,0.30094,0.011,0.003,0.005,0.002,0,0,0.01,0.001,0.005,0.066,0.071,0.043,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-17.scen
0.067,100,199,9872,38087,1642,1642,1637,1641,13,11,78,20,1,0,0,57,27,15,108,0,81,899,0.353535,0.343434,0.017,0.004,0.003,0.001,0,0,0.014,0,0,0.022,0.025,0.055,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-18.scen
0.23,588,1175,67899,237522,1824,1824,1814,1823,62,234,504,80,3,0,0,359,187,41,508,0,67,5454,0.480409,-0.0357751,0.024,0.014,0.011,0.004,0.001,0,0.013,0.002,0.005,0.15,0.163,0.035,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-19.scen
0.018,4,7,3378,12986,1715,1715,1713,1715,9,3,0,3,0,0,0,0,0,3,1,0,12,3,1,0,0.004,0,0.001,0,0.001,0,0.004,0,0,0.002,0.003,0.063,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-20.scen
0.075,100,199,14310,52398,1790,1790,1782,1790,12,11,92,7,0,0,0,6,41,52,10,0,31,112,0.282828,0.828283,0.013,0,0.001,0,0.001,0,0.023,0,0.003,0.03,0.03,0.046,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-21.scen
0.022,7,13,3595,14783,1959,1959,1957,1959,11,3,5,1,0,0,0,2,0,4,3,0,19,13,0.666667,-0.166667,0.004,0,0.001,0,0,0,0.008,0,0,0.003,0.003,0.055,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-22.scen
0.219,794,1587,52027,189390,1839,1839,1830,1836,41,167,676,110,7,0,0,600,150,43,777,0,110,11989,0.332913,0.387137,0.033,0.039,0.009,0,0.001,0,0.014,0,0.013,0.11,0.122,0.037,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-23.scen
0.049,28,55,7542,27323,1811,1811,1805,1810,10,16,17,8,2,0,0,5,4,18,20,0,38,349,0.703704,0.148148,0.015,0.002,0,0,0.001,0,0.011,0,0,0.013,0.013,0.035,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-24.scen
0.973,1709,3417,334822,1116113,1680,1680,1671,1676,24,293,895,742,71,0,0,1534,128,46,2657,0,130,41947,0.683255,0.163349,0.093,0.094,0.033,0.009,0.013,0,0.019,0.001,0.027,0.687,0.725,0.054,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-25.scen
