runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.052,20,41,11516,29478,1846,1695,1675,1695,17,8,4,1,1,14,0,0,0,20,1,0,49,0,1.45,0.5,0.017,0,0,0,0.001,0,0.008,0,0.001,0.016,0.016,0.05,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-1.scen
0.045,19,37,12546,30748,1757,1644,1624,1644,18,8,7,1,2,8,0,0,0,18,1,0,49,1,1.55556,0.611111,0.013,0,0.001,0,0.001,0,0.006,0,0.001,0.014,0.016,0.027,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-2.scen
0.047,15,31,12870,30871,1759,1650,1637,1650,20,7,5,1,0,9,0,0,0,15,1,0,51,0,2.13333,0.4,0.013,0,0.001,0,0,0,0.007,0,0,0.018,0.019,0.051,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-3.scen
0.075,37,75,20624,47013,1897,1757,1738,1757,20,12,19,0,2,16,0,0,0,37,1,0,57,0,0.567568,0.72973,0.015,0,0.003,0,0.004,0,0.016,0,0.002,0.026,0.029,0.051,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-4.scen
0.059,57,111,16934,42076,1814,1725,1706,1725,15,32,31,3,2,20,0,0,0,56,1,0,34,0,2.33929,0.660714,0.008,0.001,0.001,0,0.002,0,0.009,0,0,0.028,0.029,0.029,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-5.scen
0.085,20,40,21535,50300,2039,1946,1916,1946,26,7,11,0,1,8,0,0,0,20,1,0,56,5,1.35,0.45,0.025,0,0,0,0,0,0.019,0,0.001,0.029,0.029,0.029,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-6.scen
0.075,30,59,20946,49588,1899,1763,1744,1763,24,12,19,0,1,9,0,0,0,29,1,0,71,2,0.965517,-0.0689655,0.018,0,0.002,0,0.002,0,0.012,0,0.002,0.031,0.032,0.028,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-7.scen
0.174,19,35,80922,102499,2089,1976,1942,1976,17,7,7,0,0,11,0,0,0,18,1,0,54,0,2.88889,0,0.026,0,0.001,0,0,0,0.015,0,0.001,0.122,0.123,0.042,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-8.scen
0.049,15,29,10293,27882,1912,1801,1787,1801,17,6,5,0,2,7,0,0,0,14,1,0,51,0,1.57143,0.214286,0.017,0,0.002,0,0,0,0.008,0,0.002,0.012,0.014,0.05,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-9.scen
0.091,56,111,22848,57988,1912,1786,1764,1786,31,12,28,0,4,23,0,0,0,55,1,0,72,2,1.05455,0.781818,0.016,0,0.003,0,0.004,0,0.027,0,0.001,0.032,0.034,0.029,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-10.scen
0.294,97,191,134381,205948,1703,1600,1584,1600,58,31,16,0,7,73,0,0,77,19,1,0,67,1,1.71875,0.479167,0.017,0,0.003,0,0.002,0,0.049,0,0.003,0.212,0.216,0.029,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-11.scen
4.928,1288,2572,2667649,4014093,1888,1767,1742,1767,381,338,241,0,65,982,0,0,1239,49,1,0,72,3,2.5295,0.517857,0.028,0,0.046,0.004,0.095,0,0.659,0.007,0.049,4.052,4.102,0.037,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-12.scen
0.056,13,27,10560,27457,1890,1823,1805,1823,17,7,6,0,1,6,0,0,0,13,1,0,41,0,1.38462,0.0769231,0.014,0,0.001,0,0.002,0,0.008,0,0,0.024,0.024,0.027,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-13.scen
0.058,22,45,18089,39431,1711,1606,1582,1606,22,6,8,0,2,12,0,0,0,22,1,0,51,0,1.59091,0.409091,0.014,0,0,0,0.002,0,0.008,0,0.001,0.027,0.027,0.028,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-14.scen
