runtime,solution cost,solver name,instance name
0.002,209,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-63.scen
0.003,244,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-64.scen
0.003,242,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-65.scen
0.002,217,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-66.scen
0.002,256,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-67.scen
0,216,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-68.scen
0.001,244,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-69.scen
0.006,263,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-70.scen
0.001,224,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-71.scen
0.002,228,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-72.scen
0.004,224,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-73.scen
0.003,234,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-74.scen
0.001,239,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-75.scen
0.002,222,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-76.scen
0.002,221,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-77.scen
0.002,218,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-78.scen
0.002,253,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-79.scen
0.002,258,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-80.scen
0.002,238,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-81.scen
0.001,247,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-82.scen
0.003,280,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-83.scen
0.001,209,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-84.scen
0.003,244,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-85.scen
0.002,220,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-86.scen
0.003,252,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-87.scen
0.002,239,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-88.scen
0.002,228,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-89.scen
0.007,258,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-90.scen
0.002,224,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-91.scen
0.002,243,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-92.scen
0.002,226,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-93.scen
0.002,280,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-94.scen
0.001,246,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-95.scen
0.001,207,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-96.scen
0.004,237,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-97.scen
0.004,244,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-98.scen
0.007,228,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-99.scen
0.003,214,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-100.scen
0.008,411,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-1.scen
0.007,493,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-2.scen
0.009,480,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-3.scen
0.006,478,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-4.scen
0.007,514,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-5.scen
0.011,486,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-6.scen
0.007,432,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-7.scen
0.007,441,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-8.scen
0.009,460,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-9.scen
0.011,483,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-10.scen
0.014,504,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-12.scen
0.009,476,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-13.scen
0.017,450,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-14.scen
0.013,490,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-15.scen
0.007,486,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-16.scen
0.009,499,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-17.scen
0.017,429,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-18.scen
0.017,516,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-19.scen
0.011,486,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-20.scen
0.012,483,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-21.scen
0.011,469,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-22.scen
0.008,438,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-23.scen
0.018,502,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-24.scen
0.011,466,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-25.scen
0.01,454,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-26.scen
0.009,448,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-27.scen
0.01,432,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-28.scen
0.005,441,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-29.scen
0.006,478,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-30.scen
0.006,439,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-31.scen
0.01,468,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-32.scen
0.008,503,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-33.scen
0.006,446,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-34.scen
0.01,491,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-35.scen
0.014,470,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-36.scen
0.005,449,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-37.scen
0.009,527,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-38.scen
0.016,480,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-39.scen
0.012,535,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-40.scen
0.015,458,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-41.scen
0.025,506,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-42.scen
0.007,473,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-43.scen
0.006,500,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-44.scen
0.011,457,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-45.scen
0.008,476,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-46.scen
0.014,458,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-47.scen
0.013,476,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-48.scen
0.01,470,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-49.scen
0.009,461,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-50.scen
0.01,443,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-51.scen
0.01,482,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-52.scen
0.012,492,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-53.scen
0.009,498,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-54.scen
0.012,468,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-55.scen
0.009,438,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-56.scen
0.005,446,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-57.scen
0.011,486,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-58.scen
0.01,434,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-59.scen
0.014,467,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-60.scen
0.01,475,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-62.scen
