runtime,solution cost,solver name,instance name
0.003,211,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-62.scen
0.001,210,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-63.scen
0.002,243,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-64.scen
0.002,241,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-65.scen
0.001,218,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-66.scen
0.004,257,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-67.scen
0.001,216,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-68.scen
0.004,244,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-69.scen
0.003,264,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-70.scen
0.001,223,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-71.scen
0.002,227,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-72.scen
0.003,221,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-73.scen
0.002,234,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-74.scen
0.002,239,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-75.scen
0.002,222,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-76.scen
0.002,220,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-77.scen
0.002,218,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-78.scen
0.001,254,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-79.scen
0.001,258,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-80.scen
0.003,237,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-81.scen
0.001,243,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-82.scen
0.002,280,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-83.scen
0.001,209,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-84.scen
0.003,242,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-85.scen
0.002,219,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-86.scen
0.001,252,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-87.scen
0.003,240,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-88.scen
0.001,227,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-89.scen
0.003,259,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-90.scen
0.002,224,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-91.scen
0.002,245,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-92.scen
0.002,227,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-93.scen
0.003,272,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-94.scen
0.002,247,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-95.scen
0.001,208,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-96.scen
0.003,237,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-97.scen
0.001,243,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-98.scen
0.003,229,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-99.scen
0.002,214,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-100.scen
0.005,405,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-1.scen
0.005,491,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-2.scen
0.008,470,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-3.scen
