runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
3.324,2455,4909,945126,1910992,1823,1823,1797,1815,2406,254,811,197,1192,0,0,1007,3691,1.043,0.133,0.065,0.087,0.047,0,0.196,0.014,0.073,1.596,1.689,0.054,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-1.scen:
0.451,111,221,93720,171265,1855,1855,1839,1847,138,27,8,1,74,0,0,174,108,0.209,0.012,0.006,0.005,0,0,0.054,0.003,0.004,0.134,0.145,0.03,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-2.scen:
0.074,18,34,8106,20220,1647,1647,1639,1643,35,1,2,2,12,0,0,89,0,0.034,0.001,0.002,0.001,0.003,0,0.009,0,0.001,0.014,0.015,0.053,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-3.scen:
41.198,23021,45698,5038623,12111934,1907,1907,1879,1901,13895,15557,1416,2,6045,0,0,22585,46422,24.21,1.244,0.598,0.923,0.067,0,1.677,0.271,0.784,9.425,10.364,0.051,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-4.scen:
60.001,35895,71127,9351914,21685966,-1,1778,1758,1774,17986,26602,3077,1171,5045,0,0,42370,43083,31.173,2.213,0.838,0.995,0.825,0,3.585,0.37,1.124,16.948,18.17,0.046,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-5.scen:
19.43,9816,19141,4065801,7544062,1888,1888,1856,1868,7892,5206,462,361,3787,0,0,13077,11241,9.236,0.554,0.303,0.264,0.249,0,1.588,0.052,0.32,6.486,6.969,0.076,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-6.scen:
60.001,17459,34082,3944240,9067119,-1,1802,1786,1801,3583,10368,2915,599,3577,0,0,11910,28662,47.827,0.908,0.359,0.851,0.174,0,1.421,0.148,0.367,6.757,7.261,0.075,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-7.scen:
1.485,612,1204,392652,700147,1989,1989,1965,1983,683,117,93,17,384,0,0,808,719,0.568,0.028,0.019,0.017,0.035,0,0.161,0.002,0.022,0.615,0.646,0.076,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-8.scen:
2.038,1098,2182,483920,939791,1727,1727,1707,1723,1256,197,257,52,591,0,0,1431,1244,0.783,0.056,0.03,0.032,0.004,0,0.221,0.008,0.05,0.831,0.89,0.075,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-9.scen:
0.17,71,138,24786,61246,1783,1783,1767,1780,67,5,13,1,51,0,0,163,17,0.089,0.006,0.001,0.003,0,0,0.029,0,0.002,0.033,0.035,0.071,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-10.scen:
15.674,5536,11035,1567767,3595328,1877,1877,1847,1867,3410,3250,453,18,1815,0,0,8699,7738,10.692,0.324,0.12,0.176,0.069,0,1.126,0.045,0.165,2.723,2.916,0.031,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-11.scen:
0.448,201,401,75547,174470,1765,1765,1743,1753,295,47,27,8,118,0,0,297,90,0.224,0.012,0.004,0.001,0.001,0,0.063,0.001,0.006,0.127,0.134,0.055,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-12.scen:
0.216,93,185,34631,75545,1691,1691,1677,1687,116,8,20,0,64,0,0,160,77,0.092,0.008,0,0.012,0.007,0,0.025,0,0.003,0.055,0.056,0.075,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-13.scen:
0.648,336,673,104217,267220,1758,1758,1738,1752,439,176,85,0,75,0,0,473,556,0.33,0.012,0.011,0.01,0.003,0,0.065,0.004,0.02,0.187,0.208,0.051,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-14.scen:
1.094,324,637,108514,237232,1809,1809,1793,1801,200,87,72,23,141,0,0,765,294,0.629,0.022,0.008,0.01,0.079,0,0.121,0.001,0.006,0.196,0.209,0.051,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-15.scen:
6.052,2877,5741,1071428,2225262,1784,1784,1762,1776,3278,802,257,47,1771,0,0,4818,2868,2.895,0.176,0.109,0.098,0.134,0,0.588,0.021,0.095,1.785,1.969,0.046,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-16.scen:
0.326,156,311,56644,125262,1825,1825,1811,1821,180,44,35,16,60,0,0,163,151,0.127,0.011,0.006,0.009,0.003,0,0.041,0,0.005,0.108,0.119,0.061,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-17.scen:
0.073,10,19,6116,17204,1645,1645,1637,1645,22,2,3,0,4,0,0,51,0,0.043,0.001,0.001,0,0,0,0.008,0,0.001,0.009,0.009,0.036,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-18.scen:
15.507,7368,14352,1916973,4026767,1836,1836,1814,1830,4817,3934,1073,160,2200,0,0,12511,7900,9.556,0.479,0.188,0.207,0.088,0,1.249,0.049,0.201,3.207,3.497,0.037,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-19.scen:
0.293,88,170,33253,73812,1727,1727,1713,1719,76,9,11,0,67,0,0,200,11,0.158,0.001,0.005,0.002,0.001,0,0.059,0,0.003,0.058,0.064,0.055,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-20.scen:
0.924,501,1000,279261,474933,1808,1808,1782,1802,180,2,101,2,395,0,0,412,469,0.335,0.026,0.011,0.005,0,0,0.078,0.003,0.012,0.448,0.459,0.052,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-21.scen:
0.186,108,210,29536,67626,1967,1967,1957,1961,90,13,3,1,90,0,0,186,7,0.082,0.007,0.004,0.002,0,0,0.029,0.002,0.006,0.053,0.058,0.048,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-22.scen:
60.001,5017,10034,1683652,3978818,-1,1846,1830,1842,1819,3938,582,9,488,0,0,12497,993,54.52,0.298,0.112,0.49,0.076,0,1.201,0.024,0.149,2.843,3.024,0.052,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-23.scen:
0.086,27,53,9938,25020,1827,1827,1805,1825,24,8,4,3,11,0,0,90,1,0.052,0.001,0.001,0,0.001,0,0.014,0,0.001,0.011,0.012,0.056,WDG+GR+GC+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-24.scen:
