runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
6.13,1326,2653,777719,2412545,3631,3631,3617,3628,1512,941,145,61,179,0,0,2070,1743,3.509,0.076,0.073,0.158,0.168,0,0.195,0.008,0.103,1.779,1.864,0.108,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-1.scen:
16.615,9584,19137,4853927,14403215,3582,3582,3557,3571,7952,1060,818,1868,5838,0,0,1519,14930,2.062,0.526,0.478,0.275,2.011,0,0.315,0.038,0.545,10.364,10.996,0.112,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-2.scen:
2.744,1145,2289,722720,2292747,3619,3619,3602,3615,1199,397,220,94,433,0,0,582,1251,0.739,0.067,0.06,0.047,0.093,0,0.1,0.006,0.07,1.578,1.652,0.125,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-3.scen:
0.17,65,129,22662,82879,3727,3727,3711,3724,64,35,11,9,9,0,0,108,51,0.076,0.006,0.003,0.001,0.002,0,0.027,0,0.004,0.039,0.043,0.126,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-4.scen:
1.779,213,427,208893,482442,3461,3461,3438,3451,251,34,37,16,126,0,0,159,159,1.144,0.014,0.019,0.004,0.044,0,0.121,0.001,0.018,0.41,0.433,0.103,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-5.scen:
0.138,48,95,33312,110353,3333,3333,3320,3327,87,12,3,14,18,0,0,44,36,0.045,0.004,0.007,0,0.002,0,0.011,0,0.003,0.057,0.063,0.142,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-6.scen:
0.168,58,115,22177,61920,3487,3487,3464,3480,10,36,9,9,3,0,0,61,69,0.075,0.006,0.005,0.001,0.021,0,0.008,0,0.005,0.036,0.042,0.123,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-7.scen:
0.07,22,43,8851,32500,3218,3218,3209,3216,12,11,1,2,7,0,0,43,7,0.036,0.001,0,0,0.004,0,0.006,0,0,0.012,0.012,0.105,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-8.scen:
0.116,23,45,14695,46270,3601,3601,3592,3598,26,15,2,0,5,0,0,70,5,0.061,0.001,0,0.001,0.002,0,0.014,0,0.002,0.024,0.024,0.102,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-9.scen:
0.353,87,173,67665,198602,3449,3449,3431,3441,148,37,2,10,37,0,0,91,78,0.117,0.006,0.007,0.001,0.023,0,0.034,0,0.005,0.148,0.154,0.102,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-10.scen:
